rate,autor,url,title
9.1,作者:ZhejiangEducationPublishingHouse,https://book.douban.com/subject/1003694/,中国少年儿童百科全书
9.2,作者:王德胜,https://book.douban.com/subject/1000534/,中国少年儿童百科全书--自然.环境
8.9,作者:(美)贾雷德・戴蒙德,https://book.douban.com/subject/1054760/,枪炮、病菌与钢铁
9.0,作者:【英】毕翠克丝•波特,https://book.douban.com/subject/4097264/,小兔彼得和他的朋友们（全3册）
9.1,作者:任东来/陈伟/白雪峰,https://book.douban.com/subject/1144185/,美国宪政历程
9.1,作者:[美]萨伯,https://book.douban.com/subject/3697494/,洞穴奇案
9.8,作者:WILLARDPRICE,https://book.douban.com/subject/1542939/,哈尔罗杰历险记(全套共14册)
9.5,作者:RandalE.Bryant/DavidO'Hallaron,https://book.douban.com/subject/1230413/,深入理解计算机系统
9.5,作者:[英]贡布里希(SirE.H.Gombrich),https://book.douban.com/subject/1059969/,艺术的故事
9.5,作者:[美]乔治.R.R.马丁,https://book.douban.com/subject/1986291/,冰与火之歌（卷三）
9.5,作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑,https://book.douban.com/subject/1181379/,牛津高阶英汉双解词典（第六版）
9.5,作者:RichardP.Feynman/RobertB.Leighton/MatthewSands,https://book.douban.com/subject/1437852/,费恩曼物理学讲义（第1卷）
9.2,作者:熊顿,https://book.douban.com/subject/11622283/,滚蛋吧!肿瘤君
9.6,作者:[清]曹雪芹著/高鹗续,https://book.douban.com/subject/1007305/,红楼梦
9.4,作者:吴淼,https://book.douban.com/subject/2334065/,塔希里亚故事集
9.2,作者:[哥伦比亚]加西亚·马尔克斯,https://book.douban.com/subject/6082808/,百年孤独
9.3,作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,https://book.douban.com/subject/1885170/,算法导论（原书第2版）
9.4,作者:[美]侯世达,https://book.douban.com/subject/1291204/,哥德尔、艾舍尔、巴赫
9.2,作者:木心口述/陈丹青笔录,https://book.douban.com/subject/20440644/,文学回忆录（全2册）
9.5,作者:司马迁,https://book.douban.com/subject/1077847/,史记（全十册）
9.5,作者:老子,https://book.douban.com/subject/1059258/,道德经
9.2,作者:刘慈欣,https://book.douban.com/subject/5363767/,三体Ⅲ
8.8,作者:柴静,https://book.douban.com/subject/20427187/,看见
9.4,作者:[美]乔治.R.R.马丁,https://book.douban.com/subject/1464203/,冰与火之歌（卷二）
